,mbti,enneagram,role,movie,img_url,enn_1,enn_2,downthemall,img_filepath
3690,ENFP,7w6,Bumblebee,   Transformers ,https://www.personality-database.com/profile_images/71496.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/71496.png?=undefined'></a>,downthemall/71496.png
3691,ENFP,9w8,Li Shen,   Kung Fu Panda ,https://www.personality-database.com/profile_images/6511.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/6511.png?=undefined'></a>,downthemall/6511.png
3692,ENFP,2w1,Jane Caldwell,   Happiest Season ,https://www.personality-database.com/profile_images/224619.png?=undefined,2,1,<a href='https://www.personality-database.com/profile_images/224619.png?=undefined'></a>,downthemall/224619.png
3693,ENFP,7w6,Lloyd Christmas,   Dumb and Dumber ,https://www.personality-database.com/profile_images/27214.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/27214.png?=undefined'></a>,downthemall/27214.png
3694,ENFP,7w6,Lloyd Christmas,   Dumb and Dumber ,https://www.personality-database.com/profile_images/27214.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/27214.png?=undefined'></a>,downthemall/27214.png
3695,ENFP,7w6,Mr. Brown,   Reservoir Dogs ,https://www.personality-database.com/profile_images/38518.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/38518.png?=undefined'></a>,downthemall/38518.png
3696,ENFP,2w1,Jane Caldwell,   Happiest Season ,https://www.personality-database.com/profile_images/224619.png?=undefined,2,1,<a href='https://www.personality-database.com/profile_images/224619.png?=undefined'></a>,downthemall/224619.png
3697,ENFP,9w1,Yukio,   Deadpool ,https://www.personality-database.com/profile_images/72732.png?=undefined,9,1,<a href='https://www.personality-database.com/profile_images/72732.png?=undefined'></a>,downthemall/72732.png
3698,ENFP,7w8,Alan Parrish,   Jumanji ,https://www.personality-database.com/profile_images/49473.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/49473.png?=undefined'></a>,downthemall/49473.png
3699,ENFP,4w3,Luigi,   Cars ,https://www.personality-database.com/profile_images/34709.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/34709.png?=undefined'></a>,downthemall/34709.png
3700,ENFP,7w6,Daniel Hillard,   Mrs. Doubtfire ,https://www.personality-database.com/profile_images/49470.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/49470.png?=undefined'></a>,downthemall/49470.png
3701,ENFP,4w5,Ralphie Parker,   A Christmas Story ,https://www.personality-database.com/images/profile_transparent.png,4,5,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3702,ENFP,7w6,Zeke Baylor,   High School Musical ,https://www.personality-database.com/profile_images/27294.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/27294.png?=undefined'></a>,downthemall/27294.png
3703,ENFP,7w6,"Abigail ""Abby"" Mallard",   Chicken Little ,https://www.personality-database.com/profile_images/53645.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/53645.png?=undefined'></a>,downthemall/53645.png
3704,ENFP,7w8,Lux Lisbon,   The Virgin Suicides ,https://www.personality-database.com/profile_images/36051.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/36051.png?=undefined'></a>,downthemall/36051.png
3705,ENFP,7w6,Jof,   The Seventh Seal ,https://www.personality-database.com/profile_images/47696.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/47696.png?=undefined'></a>,downthemall/47696.png
3706,ENFP,2w3,Gidget,   The Secret Life of Pets ,https://www.personality-database.com/profile_images/45288.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/45288.png?=undefined'></a>,downthemall/45288.png
3707,ENFP,7w6,Hedwig,   Split ,https://www.personality-database.com/profile_images/24821.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/24821.png?=undefined'></a>,downthemall/24821.png
3708,ENFP,7w6,"Abigail ""Abby"" Mallard",   Chicken Little ,https://www.personality-database.com/profile_images/53645.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/53645.png?=undefined'></a>,downthemall/53645.png
3709,ENFP,7w6,Daniel Hillard,   Mrs. Doubtfire ,https://www.personality-database.com/profile_images/49470.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/49470.png?=undefined'></a>,downthemall/49470.png
3710,ENFP,7w8,Abbie Hoffman,   The Trial of the Chicago 7 ,https://www.personality-database.com/profile_images/205602.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/205602.png?=undefined'></a>,downthemall/205602.png
3711,ENFP,4w5,Ralphie Parker,   A Christmas Story ,https://www.personality-database.com/images/profile_transparent.png,4,5,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3712,ENFP,7w6,Griffin,   Men in Black,https://www.personality-database.com/profile_images/38857.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/38857.png?=undefined'></a>,downthemall/38857.png
3713,ENFP,7w6,Zeke Baylor,   High School Musical ,https://www.personality-database.com/profile_images/27294.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/27294.png?=undefined'></a>,downthemall/27294.png
3714,ENFP,2w3,Robin,   The Lego Movies,https://www.personality-database.com/profile_images/19648.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/19648.png?=undefined'></a>,downthemall/19648.png
3715,ENFP,4w3,Gordon Deitrich,   V for Vendetta ,https://www.personality-database.com/profile_images/31457.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/31457.png?=undefined'></a>,downthemall/31457.png
3716,ENFP,2w3,Cindy Lou Who,   The Grinch ,https://www.personality-database.com/profile_images/79928.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/79928.png?=undefined'></a>,downthemall/79928.png
3717,ENFP,7w6,Tipo,   The Emperor's New Groove ,https://www.personality-database.com/profile_images/13889.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/13889.png?=undefined'></a>,downthemall/13889.png
3718,ENFP,1w2,Steven Strange,   Dr. Strange ,https://www.personality-database.com/profile_images/133165.png?=undefined,1,2,<a href='https://www.personality-database.com/profile_images/133165.png?=undefined'></a>,downthemall/133165.png
