mbti,enneagram,role,movie,img_url,enn_1,enn_2
ESFP,8w7,Crazy Babysitter Twins,   Planet Terror ,https://www.personality-database.com/profile_images/85640.png?=undefined,8,7
ESFP,4w3,Ali Nazik,   Muhsin Bey,https://www.personality-database.com/images/profile_transparent.png,4,3
ESFP,7w8,Cheechee,   Teen Beach Movie,https://www.personality-database.com/profile_images/166271.png?=undefined,7,8
ESFP,7w8,Jazz,   Transformers ,https://www.personality-database.com/profile_images/182093.png?=undefined,7,8
ESFP,7w6,Roy Laferty,   The Devil All the Time ,https://www.personality-database.com/profile_images/162628.png?=undefined,7,6
ESFP,7w8,Amber,   American Pie,https://www.personality-database.com/profile_images/124969.png?=undefined,7,8
ESFP,7w6,Lee Montgomery,   Death Proof ,https://www.personality-database.com/profile_images/74017.png?=undefined,7,6
ESFP,7w6,Jan,   Grease ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w6,Gamma,   Up ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,4w3,Truvy Jones,   Steel Magnolias ,https://www.personality-database.com/profile_images/148904.png?=undefined,4,3
ESFP,7w6,Buster,   Toy Story ,https://www.personality-database.com/profile_images/178225.png?=undefined,7,6
ESFP,9w1,Iona,   Pretty in Pink ,https://www.personality-database.com/images/profile_transparent.png,9,1
ESFP,7w6,Caitlin Bree,   Clerks ,https://www.personality-database.com/profile_images/166615.png?=undefined,7,6
ESFP,7w6,Crash,   Ice Age ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w6,Murray,   Hotel Transylvania ,https://www.personality-database.com/profile_images/195122.png?=undefined,7,6
ESFP,8w7,Toole - Soldier in Fistfight,   Barry Lyndon ,https://www.personality-database.com/profile_images/110843.png?=undefined,8,7
ESFP,7w8,Robert Morse,   Alien,https://www.personality-database.com/profile_images/29497.png?=undefined,7,8
ESFP,7w6,Russell Gettis,   Bad Teacher,https://www.personality-database.com/profile_images/131576.png?=undefined,7,6
ESFP,7w6,"Alan ""Yeah-Yeah"" McClennan",   The Sandlot ,https://www.personality-database.com/profile_images/94876.png?=undefined,7,6
ESFP,7w6,John Landon,   Planet of the Apes ,https://www.personality-database.com/profile_images/31706.png?=undefined,7,6
ESFP,7w8,Piper Pinwheeler,   Robots ,https://www.personality-database.com/profile_images/75837.png?=undefined,7,8
ESFP,6w7,Rachel,   Heart ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,3w4,Nicky Dimes,   True Romance ,https://www.personality-database.com/profile_images/119412.png?=undefined,3,4
ESFP,6w7,Hud,   Cloverfield ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,7w6,Jason,   The Intern ,https://www.personality-database.com/profile_images/119927.png?=undefined,7,6
ESFP,7w6,Bob Hinson,   A League of Their Own ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Brock Hudson,   She’s All That,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Pascal,   The Red Balloon ,https://www.personality-database.com/profile_images/144763.png?=undefined,7,8
ESFP,7w8,Xiaoxiao Fang,   Us and Them ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Max,   Arthur and the Invisibles,https://www.personality-database.com/profile_images/162587.png?=undefined,7,6
ESFP,7w8,Bobbie Markowe,   The Stepford Wives ,https://www.personality-database.com/profile_images/132221.png?=undefined,7,8
ESFP,3w2,Lisa P.,   Adventureland ,https://www.personality-database.com/images/profile_transparent.png,3,2
ESFP,7w8,Albert Torena,   Heat ,https://www.personality-database.com/profile_images/29171.png?=undefined,7,8
ESFP,7w6,Ami Ozawa,   The Forest of Love ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Daffy,   Gremlins 2: The New Batch,https://www.personality-database.com/profile_images/196037.png?=undefined,7,8
ESFP,4w3,Sir Smoke-a-Lot,   Half Baked ,https://www.personality-database.com/profile_images/130869.png?=undefined,4,3
ESFP,7w8,Scarface,   Half Baked ,https://www.personality-database.com/profile_images/130863.png?=undefined,7,8
ESFP,4w5,Young Girl,   Un Chien Andalou ,https://www.personality-database.com/images/profile_transparent.png,4,5
ESFP,7w6,Sonny LaTieri,   Grease ,https://www.personality-database.com/images/profile_transparent.png,7,6
